"PX0001M" "PX0003M" "PX0006M" "PX0012M" "BALB03M" "ESP001M" "ESP003M" "ESP006M" "ESP012M" "NY0001M" "NY0003M" "NY0006M" "NY0012M" "TAB3M" "CORN3M" "CORN6M" "PORB3M" "FS0003M" "FS0006M" "SOLK1M" "SOLK3M" "SOLK6M" "YY0003M" "YY0006M" "PIB3M" "DIDA01M" "DIDA03M" "DIDA06M" "PORK01" "PORK03" "BURP03M" "BURP06M" "DETL01" "PONYA" "PONYO/N" "KEEPCALM" "TOLSTOY" "CORAL" "HFXX1T" "SAXX1T"
"" "" "" "" "" "2022-12-25" "2022-12-25" "2022-12-25" "2022-12-25" "" "" "" "" "2020-1-6" "2022-8-9" "2022-8-9" "2019-5-1" "" "" "2021-5-17" "2021-5-17" "2021-5-17" "" "" "" "" "" "" "" "" "" "" "" "2022-12-25" "" "2018-12-23" "" "" "" ""
"" "" "" "" "" "2022-12-26" "2022-12-26" "2022-12-26" "2022-12-26" "" "" "" "" "2020-5-1" "2022-12-25" "2022-12-25" "2019-5-6" "" "" "2021-12-25" "2021-12-25" "2021-12-25" "" "" "" "" "" "" "" "" "" "" "" "2022-12-26" "" "2018-12-31" "" "" "" ""
"" "" "" "" "" "2023-1-1" "2023-1-1" "2023-1-1" "2023-1-1" "" "" "" "" "2020-12-24" "2023-1-1" "2023-1-1" "2019-5-24" "" "" "2021-12-26" "2021-12-26" "2021-12-26" "" "" "" "" "" "" "" "" "" "" "" "2023-1-1" "" "2019-1-1" "" "" "" ""
"" "" "" "" "" "2023-5-1" "2023-5-1" "2023-5-1" "2023-5-1" "" "" "" "" "2020-12-25" "2023-5-1" "2023-5-1" "2019-9-6" "" "" "2022-1-1" "2022-1-1" "2022-1-1" "" "" "" "" "" "" "" "" "" "" "" "2023-5-1" "" "2019-1-2" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2020-12-26" "2023-8-9" "2023-8-9" "2019-9-22" "" "" "2022-5-1" "2022-5-1" "2022-5-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-1-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2020-12-31" "" "" "2019-12-24" "" "" "2022-5-17" "2022-5-17" "2022-5-17" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-2-11" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-1-1" "" "" "2019-12-25" "" "" "2022-12-25" "2022-12-25" "2022-12-25" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-4-29" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-1-6" "" "" "2019-12-26" "" "" "2022-12-26" "2022-12-26" "2022-12-26" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-5-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-5-1" "" "" "2020-1-1" "" "" "2023-1-1" "2023-1-1" "2023-1-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-5-4" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-24" "" "" "2020-3-3" "" "" "2023-5-1" "2023-5-1" "2023-5-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-5-5" "" "" "" ""
